repo_name,ref,stars,forks,watchers,contributors,commits,created_at,updated_at,url,created_hash,updated_hash,branch
gson,friesen,24328,4388,735,155,2166,2008-09-01T03:13:32+00:00,2026-01-28T16:46:34+00:00,https://github.com/google/gson,57d1f32de5bf3a7dd54613384cc7e979fba2660b,8526dbd2f0a7e61d5fbcc5caa163f2352fb0ddc0,main
guava,chowdhury,51446,11137,2343,323,7173,2009-06-18T18:11:55+00:00,2026-01-27T22:02:32+00:00,https://github.com/google/guava,db3929bd79ef57f8da40515b663f40200a941fa8,a63e3601d139644e226bcbe9ad901bb3d835da4c,master
guice,friesen#islam,12721,1690,514,77,2172,2006-08-22T22:58:01+00:00,2025-12-01T17:50:12+00:00,https://github.com/google/guice,4f29bc8a5719ba29dea437666578b6f192728fb1,6682b69d081371cceff2a100075a74f41b819a87,master
hadoop,chowdhury#grund,15457,9195,966,305,28096,2009-05-19T04:20:40+00:00,2026-01-27T15:07:04+00:00,https://github.com/apache/hadoop,5128a9a453d64bfe1ed978cf9ffed27985eeef36,c6e716bf5bc8958a1f5fc63d1b2844a2f8f118be,trunk
hazelcast,chowdhury,6581,1875,285,293,40818,2008-12-15T11:41:01+00:00,2026-01-28T16:09:01+00:00,https://github.com/hazelcast/hazelcast,e29759246fc919efca6862e41652a2b4c502c5b4,b160b912d34a971be7d0c08aa391a7948df29649,master
hbase,chowdhury,5577,3387,384,269,20869,2007-04-03T20:34:28+00:00,2026-01-28T14:56:51+00:00,https://github.com/apache/hbase,948d0cdec4fb35d70404b9b6e27743616400656d,e2a2fb73962b57278bb4d16b1163308f18b22a65,master
hector,chowdhury,642,295,48,63,2161,2010-02-10T14:36:47+00:00,2015-07-30T18:27:19+00:00,https://github.com/hector-client/hector,a309ee7fd0626cc23032e9794e494a1e7241a446,a302e68ca8d91b45d332e8c9afd7d98030b54de1,master
hibernate-orm,chowdhury#grund,6431,3719,298,369,23194,2007-06-29T19:17:02+00:00,2026-01-27T20:13:02+00:00,https://github.com/hibernate/hibernate-orm,41e94b3cf8192f0f3b4d2948f26760ac412745a0,64ad80559533e23587982e460f6eb8a87c14a7e1,main
hibernate-search,chowdhury#grund,531,246,29,62,16198,2007-08-15T23:56:35+00:00,2026-01-27T08:01:18+00:00,https://github.com/hibernate/hibernate-search,fced424eefdd628fc096ccea5689dcff1cbcc78a,b83992727a0e950119b2be98380246de7bf8160d,main
HMCL,friesen,8753,820,99,110,4371,2015-06-22T08:06:03+00:00,2026-01-27T13:18:30+00:00,https://github.com/HMCL-dev/HMCL,0693d12f6bd1d6cadf97e5639e8f17f3f624ecf2,90a795b2c8e80a517af63b502e1720feca6fdc67,main
hutool,friesen,30343,7676,596,323,5985,2019-08-14T02:02:32+00:00,2026-01-05T08:51:16+00:00,https://github.com/chinabugotech/hutool,6b011af032efa80a0b0f6a8f66189cca907e497f,448364545257cd1f2df400053f176be7090619bc,v5-master
Hystrix,islam,24460,4715,1642,104,2121,2012-03-18T08:07:52+00:00,2025-12-17T03:21:02+00:00,https://github.com/Netflix/Hystrix,697fd66aae9beed107e13f49a741455f1d9d8dd9,5ce3bc58c38e7ca60ef2fe0e516e390e294ad941,master
iceberg,friesen,8472,2994,191,400,7998,2017-12-19T00:25:08+00:00,2026-01-28T14:48:31+00:00,https://github.com/apache/iceberg,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,03ed4ba9af4e47d32bdb22b7e3d033eb2a4b2c83,main
incubator-seata,friesen,25933,8900,828,367,2459,2019-01-09T03:13:40+00:00,2026-01-28T06:36:47+00:00,https://github.com/apache/incubator-seata,9bdb80d4fa9f0ceeef117f0bef1285e31b47349c,dc89be714dbae4e0edb91627e24dd26d7c2d60ac,2.x
intellij-community,chowdhury#grund,19612,5673,536,280,502186,2004-11-05T17:15:51+00:00,2026-01-21T13:36:02+00:00,https://github.com/JetBrains/intellij-community,3dbff843ac8df3aa167ddf0a52f5869086daa45a,1e05f4447723efe125034ffad6a3764387893163,master
j2objc,islam,6034,994,282,108,6096,2012-09-05T19:24:06+00:00,2026-01-28T17:33:09+00:00,https://github.com/google/j2objc,5a69f339b81fd41db22bdf45e613f2179fe8e36b,185a8ac8a249b3fcd96ba8a5d464c13b5e3f3a72,master
javaparser,chowdhury#grund,6033,1225,139,216,9979,2011-10-30T13:35:35+00:00,2026-01-28T13:29:06+00:00,https://github.com/javaparser/javaparser,7b2741cfb627157580719dd43c46b716bde4267e,3dc8e77116dc740489fa6d7b74c3bfa4a9750d7e,master
jclouds,chowdhury,212,147,23,228,10916,2009-04-11T16:24:33+00:00,2025-04-28T08:12:40+00:00,https://github.com/apache/jclouds,8efb9ce0dc1c00e99be9c8d52585d1681a8f9524,554418e58ac8b2fb155adfd026d3b363dc469af6,master
jedis,friesen,12268,3911,667,217,2679,2010-06-11T05:57:11+00:00,2026-01-26T16:46:22+00:00,https://github.com/redis/jedis,7e6ed0af4193c90473bbd25623e4067acea4115d,52483b82738d49d4d0341b30e1901fd9c1d1d414,master
jenkins,islam,24963,9349,846,295,37931,2006-11-05T21:16:01+00:00,2026-01-28T11:50:38+00:00,https://github.com/jenkinsci/jenkins,8a0dc230f44e84e5a7f7920cf9a31f09a54999ac,a71fe2bb671ff2066e700e2c121225da63e925ca,master
jetty.project,chowdhury#grund,4053,1987,258,222,32125,2009-03-16T20:23:39+00:00,2026-01-27T17:59:20+00:00,https://github.com/eclipse/jetty.project,bc1e0bd10201d8a14f20a81e3b93076af6408fe4,d94be9b4862f7990276522d79a463f5fc4427e2f,jetty-12.1.x
jgit,chowdhury#grund,345,88,12,244,11077,2009-09-29T23:47:03+00:00,2026-01-28T16:09:03+00:00,https://github.com/eclipse-jgit/jgit,1a6964c8274c50f0253db75f010d78ef0e739343,1e9dd8cb9bedce1b5d579dcd841c5c9aac24b1e7,master
jib,friesen,14275,1465,319,124,2385,2017-07-24T12:35:39+00:00,2025-12-15T06:16:55+00:00,https://github.com/GoogleContainerTools/jib,a293b919698dcc0fea868eeeae6763964341a260,349c809e958ec31e969be76fd66843104ac1fd30,master
jmeter,islam,9202,2253,318,83,18490,1998-09-03T00:24:13+00:00,2026-01-12T07:54:51+00:00,https://github.com/apache/jmeter,35f103bc49870230b0dc60c5836654c2ef370b51,b1843c2a0aa0bc8292cc504e2a0cea53ca373234,master
jna,chowdhury,8881,1688,372,169,4229,1998-10-01T22:08:33+00:00,2025-12-09T19:28:04+00:00,https://github.com/java-native-access/jna,9813273b07fd082da573b3b6bfb8d23809b59eea,8bfebbe5cb6e8364855a09564d7543def1c990e3,master
